"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Louisville, KY","Hispanic","Female",0,0,0,0,0,0,0,3912.836225,0,0,43.39929703,0,0,0,0,0,0,0,0
"Louisville, KY","Hispanic","Male",0,0,0,0,0,0,0,7350.319797,0,17.44462202,101.6201591,0,16.06711786,0,0,0,26.24063632,0,30.78845033
"Minneapolis, MN","Hispanic","Female",0,0,0,0,0,0,0,4015.188891,0,0,30.18652464,0,0,0,0,0,0,0,0
"Louisville, KY","Asian/PI","Female",0,0,0,0,0,0,0,4665.501599,0,0,0,0,0,0,0,0,0,0,0
"Tucson, AZ","Black","Male",0,0,0,0,0,0,0,20857.74882,67.30877392,82.27219,0,30.46809853,52.42860992,0,0,0,109.1341191,38.32218341,149.2457179
"Minneapolis, MN","Hispanic","Male",0,0,0,0,0,0,0,9088.029224,0,0,156.1681802,0,0,0,0,0,79.71934313,0,86.59418394
"Louisville, KY","Asian/PI","Male",0,0,0,0,0,0,0,5395.203116,0,0,41.08737803,0,0,0,0,0,0,0,0
"Memphis, TN","Hispanic","Female",0,0,0,0,0,0,0,4192.280801,0,0,38.87852422,0,0,0,0,0,0,0,0
"Detroit, MI","Asian/PI","Female",0,0,0,0,0,0,0,27418.61243,0,0,0,0,0,0,0,0,0,0,0
"Memphis, TN","Asian/PI","Female",0,0,0,0,0,0,0,4151.759942,0,0,0,0,0,0,0,0,0,0,0
"El Paso, TX","Asian/PI","Female",0,0,0,0,0,0,0,6386.80712,0,0,0,0,0,0,0,0,0,0,0
"Milwaukee, WI","Asian/PI","Female",0,0,0,0,0,0,0,4153.175719,0,0,0,0,0,0,0,0,0,0,0
"Oakland, CA","White","Male",0,0,0,0,0,0,0,4622.248303,84.05860842,9.80891098,82.80477311,0,0,0,0,14.07117456,36.44133254,17.85017246,46.41645226
"Detroit, MI","Asian/PI","Male",0,0,0,0,0,0,0,10190.37377,0,0,0,0,0,0,0,0,0,0,0
"Memphis, TN","Asian/PI","Male",0,0,0,0,0,0,0,5095.94884,0,0,0,0,0,0,0,0,0,0,0
"El Paso, TX","Asian/PI","Male",0,0,0,0,0,0,0,11636.76754,0,0,0,0,0,0,0,0,0,0,0
"Milwaukee, WI","Asian/PI","Male",0,0,0,0,0,0,0,9218.391014,0,0,134.2145692,0,0,0,0,0,0,0,0
